Date,Open,High,Low,Close,Volume
4-Dec-15,127.00,130.99,125.75,130.93,20250411
3-Dec-15,129.62,132.20,126.39,126.81,26647260
2-Dec-15,125.53,131.35,124.93,128.93,24105712
1-Dec-15,124.47,125.57,122.42,125.37,12550755
30-Nov-15,126.03,126.60,122.89,123.33,13894031
27-Nov-15,123.85,126.39,123.59,125.44,6645484
25-Nov-15,124.23,125.20,122.36,124.16,10980677
24-Nov-15,123.97,124.66,120.03,123.31,18335255
23-Nov-15,124.30,126.20,121.66,125.03,15726984
20-Nov-15,120.85,124.07,119.21,123.84,17977001
19-Nov-15,120.25,123.13,119.61,120.22,19253236
18-Nov-15,117.94,121.00,116.10,120.63,23353565
17-Nov-15,112.11,118.79,111.70,117.10,33016302
16-Nov-15,102.97,111.65,101.86,111.35,19866161
13-Nov-15,108.34,109.07,103.27,103.65,18819418
12-Nov-15,112.52,115.25,108.20,108.92,17568163
11-Nov-15,113.08,114.61,111.41,112.86,11039154
10-Nov-15,108.86,112.84,108.01,112.70,11166372
9-Nov-15,113.36,114.00,108.64,109.86,16154632
6-Nov-15,113.39,114.80,112.05,114.06,10936608
5-Nov-15,113.75,115.68,111.72,113.50,13814939
4-Nov-15,110.36,114.28,109.39,114.05,17505023
3-Nov-15,107.36,111.05,107.24,109.74,12484136
2-Nov-15,109.20,109.37,106.30,107.64,11784573
30-Oct-15,105.12,110.10,104.90,108.38,15571468
29-Oct-15,105.00,106.91,104.75,105.12,9841406
28-Oct-15,102.90,106.21,102.06,105.80,13093962
27-Oct-15,102.58,104.72,101.23,103.07,12066402
26-Oct-15,100.05,103.31,99.38,103.04,12099611
23-Oct-15,97.61,101.56,97.27,100.04,17952792
22-Oct-15,98.07,99.93,96.86,97.32,12508145
21-Oct-15,99.67,100.34,97.01,97.96,13728542
20-Oct-15,101.06,102.11,97.58,98.99,17285344
19-Oct-15,98.07,103.62,96.26,101.69,29896014
16-Oct-15,100.21,101.65,98.41,98.99,21251955
15-Oct-15,103.77,104.88,99.10,101.09,47147030
14-Oct-15,111.50,111.63,108.05,110.23,27763604
13-Oct-15,112.85,113.72,108.78,109.73,17220343
12-Oct-15,114.45,115.42,112.36,113.45,12584853
9-Oct-15,114.11,115.83,112.44,113.33,22191915
8-Oct-15,107.94,115.05,102.60,114.93,42511098
7-Oct-15,108.84,109.78,106.75,108.10,12287862
6-Oct-15,110.33,112.25,105.64,108.33,20629792
5-Oct-15,107.48,112.28,105.76,111.25,20836951
2-Oct-15,103.01,106.87,101.45,106.11,21450221
1-Oct-15,102.91,106.11,101.12,105.98,16995856
30-Sep-15,99.91,103.46,99.05,103.26,16971310
29-Sep-15,99.63,100.63,96.85,98.35,17116665
28-Sep-15,101.57,103.33,97.84,99.47,16915986
25-Sep-15,105.30,105.45,101.57,102.24,19039415
24-Sep-15,97.11,104.00,96.78,103.76,21136676
23-Sep-15,98.60,99.74,97.66,98.07,10247133
22-Sep-15,98.29,99.90,97.00,98.47,16417870
21-Sep-15,103.30,103.77,99.56,100.30,17856598
18-Sep-15,102.00,104.36,100.71,102.62,21594438
17-Sep-15,103.67,107.50,101.83,104.21,25531317
16-Sep-15,99.70,104.48,99.33,104.08,27953817
15-Sep-15,95.22,99.65,93.61,99.16,22299181
14-Sep-15,96.84,97.91,94.33,95.69,15513848
11-Sep-15,98.57,100.85,97.23,97.51,17323011
10-Sep-15,99.42,100.85,96.78,99.48,20998283
9-Sep-15,96.51,102.79,95.52,99.18,35416322
8-Sep-15,102.08,102.50,93.55,94.95,43375535
4-Sep-15,98.05,99.93,97.34,98.79,24130891
3-Sep-15,102.69,104.17,100.11,101.06,29188068
2-Sep-15,109.31,109.50,100.30,105.44,39016991
1-Sep-15,109.35,111.24,103.82,105.79,35657755
31-Aug-15,115.24,117.00,113.76,115.03,16855816
28-Aug-15,116.35,119.35,115.88,117.63,20186334
27-Aug-15,114.94,118.25,113.02,117.66,35741993
26-Aug-15,107.15,110.28,102.02,110.13,35399502
25-Aug-15,107.75,107.88,101.50,101.52,37372540
24-Aug-15,88.75,109.63,85.50,96.88,56916512
21-Aug-15,106.20,110.00,102.75,103.96,33058641
20-Aug-15,119.80,121.45,111.34,112.49,27863377
19-Aug-15,123.50,123.70,121.50,122.06,10115271
18-Aug-15,125.26,126.75,123.55,124.05,9381994
17-Aug-15,123.14,125.70,122.59,125.36,9233848
14-Aug-15,124.96,125.00,123.00,123.39,8667683
13-Aug-15,120.99,125.73,119.34,123.73,15284397
12-Aug-15,121.47,122.45,118.66,120.51,13881612
11-Aug-15,120.01,123.76,120.00,122.74,11596811
10-Aug-15,126.09,126.50,121.51,123.03,13424574
7-Aug-15,126.42,126.60,121.30,123.52,17360669
6-Aug-15,126.29,128.85,122.04,126.45,24716746
5-Aug-15,125.62,129.29,122.70,123.71,26946486
